|   id |      x |      y |  size |
|  196 | -18.75 |  -2.75 | 0.024 |
|  197 | -18.75 |  -2.25 | 0.024 |
|  198 | -18.75 |  -1.75 | 0.024 |
|  199 | -18.75 |  -1.25 | 0.024 |
|  200 | -18.75 |  -0.75 | 0.024 |
|  201 | -18.75 |  -0.25 | 0.024 |
|  202 | -18.75 |   0.25 | 0.024 |
|  203 | -18.75 |   0.75 | 0.024 |
|  204 | -18.75 |   1.25 | 0.024 |
|  205 | -18.75 |   1.75 | 0.024 |
|  206 | -18.75 |   2.25 | 0.024 |
|  207 | -18.75 |   2.75 | 0.024 |
|  208 | -18.75 |   3.25 | 0.024 |
|  209 | -18.75 |   3.75 | 0.024 |
|  210 | -18.75 |   4.25 | 0.024 |
|  211 | -18.75 |   4.75 | 0.024 |
|  212 | -18.75 |   5.25 | 0.024 |
|  213 | -18.75 |   5.75 | 0.024 |
|  214 | -18.75 |   6.25 | 0.024 |
|  215 | -18.75 |   6.75 | 0.024 |
|  216 | -18.75 |   7.25 | 0.024 |
|  217 | -18.75 |   7.75 | 0.024 |
|  218 | -18.75 |   8.25 | 0.024 |
|  219 | -18.75 |   8.75 | 0.024 |
|  220 | -18.75 |   9.25 | 0.024 |
|  221 | -18.75 |   9.75 | 0.024 |
|  222 | -18.75 |  10.25 | 0.024 |
|  223 | -18.75 |  10.75 | 0.024 |
|  224 | -18.75 |  11.25 | 0.024 |
|  225 | -18.25 | -12.25 | 0.024 |
|  226 | -18.25 | -11.75 | 0.024 |
|  227 | -18.25 | -11.25 | 0.024 |
|  228 | -18.25 | -10.75 | 0.024 |
|  229 | -18.25 | -10.25 | 0.024 |
|  230 | -18.25 |  -9.75 | 0.024 |
|  231 | -18.25 |  -9.25 | 0.024 |
|  232 | -18.25 |  -8.75 | 0.024 |
|  233 | -18.25 |  -8.25 | 0.024 |
|  234 | -18.25 |  -7.75 | 0.024 |
|  235 | -18.25 |  -7.25 | 0.024 |
|  236 | -18.25 |  -6.75 | 0.024 |
|  237 | -18.25 |  -6.25 | 0.024 |
|  238 | -18.25 |  -5.75 | 0.024 |
|  239 | -18.25 |  -5.25 | 0.024 |
|  240 | -18.25 |  -4.75 | 0.024 |
|  241 | -18.25 |  -4.25 | 0.024 |
|  242 | -18.25 |  -3.75 | 0.024 |
|  243 | -18.25 |  -3.25 | 0.024 |
|  244 | -18.25 |  -2.75 | 0.024 |
|  245 | -18.25 |  -2.25 | 0.024 |
|  246 | -18.25 |  -1.75 | 0.024 |
|  247 | -18.25 |  -1.25 | 0.024 |
|  248 | -18.25 |  -0.75 | 0.024 |
|  249 | -18.25 |  -0.25 | 0.024 |
|  250 | -18.25 |   0.25 | 0.024 |
|  251 | -18.25 |   0.75 | 0.024 |
|  252 | -18.25 |   1.25 | 0.024 |
|  253 | -18.25 |   1.75 | 0.024 |
|  254 | -18.25 |   2.25 | 0.024 |
|  255 | -18.25 |   2.75 | 0.024 |
|  256 | -18.25 |   3.25 | 0.024 |
|  257 | -18.25 |   3.75 | 0.024 |
|  258 | -18.25 |   4.25 | 0.024 |
|  259 | -18.25 |   4.75 | 0.024 |
|  260 | -18.25 |   5.25 | 0.024 |
|  261 | -18.25 |   5.75 | 0.024 |
|  262 | -18.25 |   6.25 | 0.024 |
|  263 | -18.25 |   6.75 | 0.024 |
|  264 | -18.25 |   7.25 | 0.024 |
|  265 | -18.25 |   7.75 | 0.024 |
|  266 | -18.25 |   8.25 | 0.024 |
|  267 | -18.25 |   8.75 | 0.024 |
|  268 | -18.25 |   9.25 | 0.024 |
|  269 | -18.25 |   9.75 | 0.024 |
|  270 | -18.25 |  10.25 | 0.024 |
|  271 | -18.25 |  10.75 | 0.024 |
|  272 | -18.25 |  11.25 | 0.024 |
|  273 | -18.25 |  11.75 | 0.024 |
|  274 | -18.25 |  12.25 | 0.024 |
|  275 | -17.75 | -12.75 | 0.024 |
|  276 | -17.75 | -12.25 | 0.024 |
|  277 | -17.75 | -11.75 | 0.024 |
|  278 | -17.75 | -11.25 | 0.024 |
|  279 | -17.75 | -10.75 | 0.024 |
